,DEPTH,CEMENT_FLAG,GR,GR_SHAPE,NEUT,RESD,TVD,V_mud,DTC,BS,CALI,DENS,Zone,Thickness,Lithofacies,Facies_code
15121,2681.0208,-999,98.0258,2,0.1661,9.8499,2641.1651,0.5857,72.3645,8.5,9.3456,2.582,UN,7.6171,3,2
15122,2681.1732,-999,98.9598,2,0.167,9.9179,2641.3174,0.5979,73.3596,8.5,9.3417,2.5809,UN,7.6171,3,2
15123,2681.3256,-999,99.8939,2,0.1678,9.9858,2641.4697,0.6101,74.3546,8.5,9.3377,2.5797,UN,7.6171,3,2
15124,2681.478,-999,100.8279,2,0.1687,10.0538,2641.6221,0.6222,75.3496,8.5,9.3338,2.5786,UN,7.6171,3,2
15125,2681.6304,-999,99.4981,2,0.1662,10.1581,2641.7744,0.6048,75.077,8.5,9.3414,2.583,UN,7.6171,3,2
15126,2681.7828,-999,97.7865,2,0.163,10.2685,2641.9268,0.5824,74.5906,8.5,9.351,2.5884,UN,7.6171,3,2
15127,2681.9352,-999,96.0748,2,0.1598,10.379,2642.0791,0.5599,74.1041,8.5,9.3605,2.5937,UN,7.6171,3,2
15128,2682.0876,-999,96.0695,2,0.1604,10.4723,2642.2315,0.5601,73.45,8.5,9.3561,2.5933,UN,7.6171,3,2
15129,2682.24,-999,97.3265,2,0.1638,10.553,2642.3838,0.5771,72.672,8.5,9.3414,2.5885,UN,7.6171,3,2
15130,2682.3924,-999,98.5835,2,0.1672,10.6336,2642.5362,0.594,71.8939,8.5,9.3267,2.5838,UN,7.6171,3,2
15131,2682.5448,-999,99.5139,2,0.169,10.6237,2642.6885,0.6064,71.6397,8.5,9.3186,2.5812,UN,7.6171,3,2
15132,2682.6972,-999,99.6599,2,0.1672,10.3964,2642.8408,0.6078,72.6438,8.5,9.3265,2.5839,UN,7.6171,3,2
15133,2682.8496,-999,99.8059,2,0.1653,10.1691,2642.9932,0.6091,73.6479,8.5,9.3343,2.5865,UN,7.6171,3,2
15134,2683.002,-999,99.9677,2,0.1635,9.9448,2643.1455,0.6107,74.641,8.5,9.342,2.5891,UN,7.6171,3,2
15135,2683.1544,-999,101.3208,2,0.1644,9.9532,2643.2979,0.6288,74.8112,8.5,9.3307,2.586,UN,7.6171,3,2
15136,2683.3068,-999,102.6738,2,0.1653,9.9615,2643.4502,0.6468,74.9814,8.5,9.3194,2.5828,UN,7.6171,3,2
15137,2683.4592,-999,104.0268,2,0.1662,9.9699,2643.6026,0.6648,75.1516,8.5,9.3081,2.5797,UN,7.6171,3,2
15138,2683.6116,-999,103.5566,2,0.1671,9.9634,2643.7549,0.6593,75.0676,8.5,9.3002,2.5746,UN,7.6171,3,2
15139,2683.764,-999,102.4197,2,0.168,9.9514,2643.9072,0.6451,74.8906,8.5,9.2937,2.5688,UN,7.6171,3,2
